code,name
AF,АФГАНИСТАН
AL,АЛБАНИЯ
AQ,АНТАРКТИДА
DZ,АЛЖИР
AS,АМЕРИКАНСКОЕ САМОА
AD,АНДОРРА
AO,АНГОЛА
AG,АНТИГУА И БАРБУДА
AZ,АЗЕРБАЙДЖАН
AR,АРГЕНТИНА
AU,АВСТРАЛИЯ
AT,АВСТРИЯ
BS,БАГАМЫ
BH,БАХРЕЙН
BD,БАНГЛАДЕШ
AM,АРМЕНИЯ
BB,БАРБАДОС
BE,БЕЛЬГИЯ
BM,БЕРМУДЫ
BT,БУТАН
BO,"БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО"
BA,БОСНИЯ И ГЕРЦЕГОВИНА
BW,БОТСВАНА
BV,ОСТРОВ БУВЕ
BR,БРАЗИЛИЯ
BZ,БЕЛИЗ
IO,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ
SB,СОЛОМОНОВЫ ОСТРОВА
VG,ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)
BN,БРУНЕЙ-ДАРУССАЛАМ
BG,БОЛГАРИЯ
MM,МЬЯНМА
BI,БУРУНДИ
BY,БЕЛАРУСЬ
KH,КАМБОДЖА
CM,КАМЕРУН
CA,КАНАДА
CV,КАБО-ВЕРДЕ
KY,ОСТРОВА КАЙМАН
CF,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
LK,ШРИ-ЛАНКА
TD,ЧАД
CL,ЧИЛИ
CN,КИТАЙ
TW,ТАЙВАНЬ (КИТАЙ)
CX,ОСТРОВ РОЖДЕСТВА
CC,КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
CO,КОЛУМБИЯ
KM,КОМОРЫ
YT,МАЙОТТА
CG,КОНГО
CD,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
CK,ОСТРОВА КУКА
CR,КОСТА-РИКА
HR,ХОРВАТИЯ
CU,КУБА
CY,КИПР
CZ,ЧЕХИЯ
BJ,БЕНИН
DK,ДАНИЯ
DM,ДОМИНИКА
DO,ДОМИНИКАНСКАЯ РЕСПУБЛИКА
EC,ЭКВАДОР
SV,ЭЛЬ-САЛЬВАДОР
GQ,ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
ET,ЭФИОПИЯ
ER,ЭРИТРЕЯ
EE,ЭСТОНИЯ
FO,ФАРЕРСКИЕ ОСТРОВА
FK,ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
GS,ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА
FJ,ФИДЖИ
FI,ФИНЛЯНДИЯ
AX,АЛАНДСКИЕ ОСТРОВА
FR,ФРАНЦИЯ
GF,ФРАНЦУЗСКАЯ ГВИАНА
PF,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
TF,ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
DJ,ДЖИБУТИ
GA,ГАБОН
GE,ГРУЗИЯ
GM,ГАМБИЯ
PS,"ПАЛЕСТИНА, ГОСУДАРСТВО"
DE,ГЕРМАНИЯ
GH,ГАНА
GI,ГИБРАЛТАР
KI,КИРИБАТИ
GR,ГРЕЦИЯ
GL,ГРЕНЛАНДИЯ
GD,ГРЕНАДА
GP,ГВАДЕЛУПА
GU,ГУАМ
GT,ГВАТЕМАЛА
GN,ГВИНЕЯ
GY,ГАЙАНА
HT,ГАИТИ
HM,ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД
VA,ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)
HN,ГОНДУРАС
HK,ГОНКОНГ
HU,ВЕНГРИЯ
IS,ИСЛАНДИЯ
IN,ИНДИЯ
ID,ИНДОНЕЗИЯ
IR,ИРАН (ИСЛАМСКАЯ РЕСПУБЛИКА)
IQ,ИРАК
IE,ИРЛАНДИЯ
IL,ИЗРАИЛЬ
IT,ИТАЛИЯ
CI,КОТ Д'ИВУАР
JM,ЯМАЙКА
JP,ЯПОНИЯ
KZ,КАЗАХСТАН
JO,ИОРДАНИЯ
KE,КЕНИЯ
KP,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА"
KR,"КОРЕЯ, РЕСПУБЛИКА"
KW,КУВЕЙТ
KG,КИРГИЗИЯ
LA,ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
LB,ЛИВАН
LS,ЛЕСОТО
LV,ЛАТВИЯ
LR,ЛИБЕРИЯ
LY,ЛИВИЯ
LI,ЛИХТЕНШТЕЙН
LT,ЛИТВА
LU,ЛЮКСЕМБУРГ
MO,МАКАО
MG,МАДАГАСКАР
MW,МАЛАВИ
MY,МАЛАЙЗИЯ
MV,МАЛЬДИВЫ
ML,МАЛИ
MT,МАЛЬТА
MQ,МАРТИНИКА
MR,МАВРИТАНИЯ
MU,МАВРИКИЙ
MX,МЕКСИКА
MC,МОНАКО
MN,МОНГОЛИЯ
MD,"МОЛДОВА, РЕСПУБЛИКА"
ME,ЧЕРНОГОРИЯ
MS,МОНТСЕРРАТ
MA,МАРОККО
MZ,МОЗАМБИК
OM,ОМАН
NA,НАМИБИЯ
NR,НАУРУ
NP,НЕПАЛ
NL,"НИДЕРЛАНДЫ, КОРОЛЕВСТВО"
CW,КЮРАСАО
AW,АРУБА
SX,СЕН-МАРТЕН (нидерландская часть)
BQ,"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА"
NC,НОВАЯ КАЛЕДОНИЯ
VU,ВАНУАТУ
NZ,НОВАЯ ЗЕЛАНДИЯ
NI,НИКАРАГУА
NE,НИГЕР
NG,НИГЕРИЯ
NU,НИУЭ
NF,ОСТРОВ НОРФОЛК
NO,НОРВЕГИЯ
MP,СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА
UM,МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ
FM,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ"
MH,МАРШАЛЛОВЫ ОСТРОВА
PW,ПАЛАУ
PK,ПАКИСТАН
PA,ПАНАМА
PG,ПАПУА-НОВАЯ ГВИНЕЯ
PY,ПАРАГВАЙ
PE,ПЕРУ
PH,ФИЛИППИНЫ
PN,ПИТКЕРН
PL,ПОЛЬША
PT,ПОРТУГАЛИЯ
GW,ГВИНЕЯ-БИСАУ
TL,ТИМОР-ЛЕСТЕ
PR,ПУЭРТО-РИКО
QA,КАТАР
RE,РЕЮНЬОН
RO,РУМЫНИЯ
RU,РОССИЯ
RW,РУАНДА
BL,СЕН-БАРТЕЛЕМИ
SH,"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ"
KN,СЕНТ-КИТС И НЕВИС
AI,АНГИЛЬЯ
LC,СЕНТ-ЛЮСИЯ
MF,"СЕН-МАРТЕН (французская часть)
"
PM,СЕН-ПЬЕР И МИКЕЛОН
VC,СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ
SM,САН-МАРИНО
ST,САН-ТОМЕ И ПРИНСИПИ
SA,САУДОВСКАЯ АРАВИЯ
SN,СЕНЕГАЛ
RS,СЕРБИЯ
SC,СЕЙШЕЛЫ
SL,СЬЕРРА-ЛЕОНЕ
SG,СИНГАПУР
SK,СЛОВАКИЯ
VN,ВЬЕТНАМ
SI,СЛОВЕНИЯ
SO,СОМАЛИ
ZA,ЮЖНАЯ АФРИКА
ZW,ЗИМБАБВЕ
ES,ИСПАНИЯ
SS,ЮЖНЫЙ СУДАН
SD,СУДАН
EH,ЗАПАДНАЯ САХАРА
SR,СУРИНАМ
SJ,ШПИЦБЕРГЕН И ЯН МАЙЕН
SZ,ЭСВАТИНИ
SE,ШВЕЦИЯ
CH,ШВЕЙЦАРИЯ
SY,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
TJ,ТАДЖИКИСТАН
TH,ТАИЛАНД
TG,ТОГО
TK,ТОКЕЛАУ
TO,ТОНГА
TT,ТРИНИДАД И ТОБАГО
AE,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
TN,ТУНИС
TR,ТУРЦИЯ
TM,ТУРКМЕНИСТАН
TC,ОСТРОВА ТЕРКС И КАЙКОС
TV,ТУВАЛУ
UG,УГАНДА
UA,УКРАИНА
MK,СЕВЕРНАЯ МАКЕДОНИЯ
EG,ЕГИПЕТ
UK,СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ
GG,ГЕРНСИ
JE,ДЖЕРСИ
IM,ОСТРОВ МЭН
TZ,"ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА"
US,СОЕДИНЕННЫЕ ШТАТЫ
VI,ВИРГИНСКИЕ ОСТРОВА (США)
BF,БУРКИНА-ФАСО
UY,УРУГВАЙ
UZ,УЗБЕКИСТАН
VE,ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА)
WF,УОЛЛИС И ФУТУНА
WS,САМОА
YE,ЙЕМЕН
ZM,ЗАМБИЯ
AB,АБХАЗИЯ
OS,ЮЖНАЯ ОСЕТИЯ
DN,ДНР
LN,ЛНР
UAE,ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ
SP,САЙПАН
NW,Неизвестно
US_prod_page,СОЕДИНЕННЫЕ ШТАТЫ
AU_product_page,АВСТРАЛИЯ
DE_prod_page,ГЕРМАНИЯ
NZ_product_page,НОВАЯ ЗЕЛАНДИЯ
UK_prod_page,СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ
